figure_id,caption,printed_page,pdf_page_1based,evidence_file,authority,status,evidence_note
3.3,Secuencia de evaluación determinista de WPD frente a persistencia y diagnóstico complementario.,76,84,07_FIGURES/canonical_thesis_evidence/Figure_3_3.png,corrected_thesis_pdf,canonical_evidence,
3.4,Comparación agregada del Skill-RMSE medio frente a persistencia para WPD por familia de modelos.,78,86,07_FIGURES/canonical_thesis_evidence/Figure_3_4.png,corrected_thesis_pdf,canonical_evidence,Plot on printed page 77; official caption and listed page on printed page 78.
3.5,Comparación observada-predicha de WPD para modelos candidatos representativos de la primera versión aprobada.,79,87,07_FIGURES/canonical_thesis_evidence/Figure_3_5.png,corrected_thesis_pdf,canonical_evidence,
3.6,Skill-RMSE del modelo final frente a persistencia por zona y horizonte.,83,91,07_FIGURES/canonical_thesis_evidence/Figure_3_6.png,corrected_thesis_pdf,canonical_evidence,
3.7,Coeficiente de determinación R² del modelo final por zona y horizonte.,83,91,07_FIGURES/canonical_thesis_evidence/Figure_3_7.png,corrected_thesis_pdf,canonical_evidence,
3.8,RMSE del modelo final por zona y horizonte.,84,92,07_FIGURES/canonical_thesis_evidence/Figure_3_8.png,corrected_thesis_pdf,canonical_evidence,
3.9,Cobertura empírica PI90 del modelo final por zona y horizonte.,87,95,07_FIGURES/canonical_thesis_evidence/Figure_3_9.png,corrected_thesis_pdf,canonical_evidence,
3.10,Ancho promedio de los intervalos PI90 del modelo final por zona y horizonte.,87,95,07_FIGURES/canonical_thesis_evidence/Figure_3_10.png,corrected_thesis_pdf,canonical_evidence,
3.11,Distribución de los residuos del modelo final por zona y horizonte.,90,98,07_FIGURES/canonical_thesis_evidence/Figure_3_11.png,corrected_thesis_pdf,canonical_evidence,
3.12,Transición conceptual entre el diagnóstico predictivo horario y la etapa trimestral separada de integración energética.,95,103,07_FIGURES/canonical_thesis_evidence/Figure_3_12.png,corrected_thesis_pdf,canonical_evidence,
4.1,"Flujo metodológico definitivo del Capítulo 4: de los datos meteorológicos y los resultados predictivos aprobados a la proyección multianual, la integración energética y la lectura regional.",98,106,07_FIGURES/canonical_thesis_evidence/Figure_4_1.png,corrected_thesis_pdf,canonical_evidence,
4.2,Evolución anual del indicador central de WPD por zona.,107,115,07_FIGURES/canonical_thesis_evidence/Figure_4_2.png,corrected_thesis_pdf,canonical_evidence,
4.3,"Indicadores anuales de energía integrada y energía estructuralmente modulada por zona, 2017–2028.",108,116,07_FIGURES/canonical_thesis_evidence/Figure_4_3.png,corrected_thesis_pdf,canonical_evidence,
4.4,Síntesis 2017–2028 del indicador energético estructural por zona.,112,120,07_FIGURES/canonical_thesis_evidence/Figure_4_4.png,corrected_thesis_pdf,canonical_evidence,
4.5,"Evolución anual del Factor de No Regularidad Regional (FNRR) por zona, 2017–2028.",112,120,07_FIGURES/canonical_thesis_evidence/Figure_4_5.png,corrected_thesis_pdf,canonical_evidence,
4.6,"Relación entre irregularidad regional y magnitud energética, 2017–2028.",113,121,07_FIGURES/canonical_thesis_evidence/Figure_4_6.png,corrected_thesis_pdf,canonical_evidence,
4.7,"Escenario central del indicador energético por zona, 2023–2028.",114,122,07_FIGURES/canonical_thesis_evidence/Figure_4_7.png,corrected_thesis_pdf,canonical_evidence,
5.1,"Trayectoria metodológica integrada de la tesis, desde los datos meteorológicos hasta el indicador de energía estructuralmente modulada.",126,134,07_FIGURES/canonical_thesis_evidence/Figure_5_1.png,corrected_thesis_pdf,canonical_evidence,
